@RELATION perfEvents

@ATTRIBUTE counter_values_L1-dcache-prefetch-misses REAL
@ATTRIBUTE counter_values_L1-icache-load-misses REAL
@ATTRIBUTE counter_values_branch-loads REAL
@ATTRIBUTE counter_values_cycles REAL
@ATTRIBUTE classLabel REAL

@DATA
90975,547853,3572783,70893179,9
118728,768240,6575302,93063382,9
113628,829345,5787325,93286005,9
102087,536164,3821631,67824634,9
82258,690208,4705256,72728773,9
117876,767528,6056198,92714192,9
81958,526792,3283228,62899509,9
92724,655910,4214643,74556479,9
95712,665323,4777588,79502657,9
84006,511072,3038413,63637950,9
101820,723756,4923307,81042063,9
% 
% 
% 
